Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
FORD Bronco,2.3,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.31EM,small SUV,5,20,22,21,4,No,424
FORD Bronco,2.7,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT02.72V6,small SUV,6,18,20,19,3,No,462
FORD Bronco,2.7,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT02.72V6,small SUV,6,18,20,19,3,No,462
FORD Bronco Badlands,2.3,4.0,Man-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.31EM,small SUV,5,16,18,17,3,No,533
FORD Bronco Badlands,2.3,4.0,Man-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.31EM,small SUV,5,16,18,17,3,No,533
FORD Bronco Badlands,2.3,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.31EM,small SUV,5,18,17,17,3,No,513
FORD Bronco Badlands,2.3,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.31EM,small SUV,5,18,17,17,3,No,513
FORD Bronco Badlands,2.7,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT02.72V6,small SUV,6,17,18,17,3,No,509
FORD Bronco Badlands,2.7,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT02.72V6,small SUV,6,17,18,17,3,No,509
FORD Bronco Black Diamond,2.3,4.0,Man-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.31EM,small SUV,5,17,19,18,3,No,496
FORD Bronco Black Diamond,2.3,4.0,Man-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.31EM,small SUV,5,17,19,18,3,No,496
FORD Bronco Black Diamond,2.3,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.31EM,small SUV,5,18,18,18,3,No,494
FORD Bronco Black Diamond,2.3,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.31EM,small SUV,5,18,18,18,3,No,494
FORD Bronco Sasquatch,2.3,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.31EM,small SUV,5,18,18,18,3,No,494
FORD Bronco Sasquatch,2.3,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.31EM,small SUV,5,18,18,18,3,No,494
FORD Bronco Sasquatch,2.7,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT02.72V6,small SUV,6,17,17,17,3,No,527
FORD Bronco Sasquatch,2.7,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT02.72V6,small SUV,6,17,17,17,3,No,527
FORD Bronco Sport,1.5,3.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT01.52X1,small SUV,7,25,28,26,5,No,342
FORD Bronco Sport,1.5,3.0,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT01.52X1,small SUV,7,25,28,26,5,No,342
FORD Bronco Sport,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.02Y1,small SUV,5,21,26,23,5,No,387
FORD Bronco Sport,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.02Y1,small SUV,5,21,26,23,5,No,387
FORD EcoSport,1.0,3.0,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT01.01B7,small SUV,5,27,29,28,6,No,318
FORD EcoSport,1.0,3.0,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT01.01B7,small SUV,5,27,29,28,6,No,318
FORD EcoSport,2.0,4.0,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.01B2,small SUV,5,23,29,25,5,No,355
FORD EcoSport,2.0,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.01B2,small SUV,5,23,29,25,5,No,355
FORD Edge,2.0,4.0,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.02JU,small SUV,5,21,29,24,5,No,369
FORD Edge,2.0,4.0,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.02JU,small SUV,5,21,29,24,5,No,369
FORD Edge,2.0,4.0,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.02JU,small SUV,5,21,28,23,5,No,380
FORD Edge,2.0,4.0,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.02JU,small SUV,5,21,28,23,5,No,380
FORD Edge,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.02JU,small SUV,5,20,28,23,5,No,383
FORD Edge,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.02JU,small SUV,5,20,28,23,5,No,383
FORD Edge,2.7,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.72JQ,small SUV,5,19,25,21,4,No,423
FORD Edge,2.7,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.72JQ,small SUV,5,19,25,21,4,No,423
FORD Escape,1.5,3.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT01.52X1,small SUV,7,28,34,30,6,No,293
FORD Escape,1.5,3.0,Auto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT01.52X1,small SUV,7,28,34,30,6,No,293
FORD Escape,1.5,3.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT01.52X1,small SUV,7,26,31,28,6,No,318
FORD Escape,1.5,3.0,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT01.52X1,small SUV,7,26,31,28,6,No,318
FORD Escape,2.0,4.0,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.02Y1,small SUV,5,23,31,26,5,No,342
FORD Escape,2.0,4.0,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.02Y1,small SUV,5,23,31,26,5,No,342
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT02.52F1,small SUV,7,44,37,41,8,Yes,220
FORD Escape HEV,2.5,4.0,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT02.52F1,small SUV,7,44,37,41,8,Yes,220
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MFMXT02.52F1,small SUV,7,43,37,40,8,Yes,224
FORD Escape HEV,2.5,4.0,CVT,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MFMXT02.52F1,small SUV,7,43,37,40,8,Yes,224
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MFMXT02.52P1,small SUV,7,43/117,38/93,40/105,10,Yes,77
FORD Escape PHEV,2.5,4.0,CVT,2WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MFMXT02.52P1,small SUV,7,43/117,38/93,40/105,10,Yes,77
FORD Expedition,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.54HF,standard SUV,5,17,23,19,3,No,456
FORD Expedition,3.5,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.54HF,standard SUV,5,17,23,19,3,No,456
FORD Expedition,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.54HF,standard SUV,5,17,22,19,3,No,476
FORD Expedition,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.54HF,standard SUV,5,17,22,19,3,No,476
FORD Expedition MAX,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.54HF,standard SUV,5,17,23,19,3,No,456
FORD Expedition MAX,3.5,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.54HF,standard SUV,5,17,23,19,3,No,456
FORD Expedition MAX,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.54HF,standard SUV,5,16,21,18,3,No,494
FORD Expedition MAX,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.54HF,standard SUV,5,16,21,18,3,No,494
FORD Explorer,2.3,4.0,Auto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.33U1,standard SUV,5,21,28,24,5,No,373
FORD Explorer,2.3,4.0,Auto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.33U1,standard SUV,5,21,28,24,5,No,373
FORD Explorer,2.3,4.0,Auto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.33U1,standard SUV,5,20,27,23,5,No,386
FORD Explorer,2.3,4.0,Auto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.33U1,standard SUV,5,20,27,23,5,No,386
FORD Explorer,2.3,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.33U1,standard SUV,5,21,28,24,5,No,373
FORD Explorer,2.3,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.33U1,standard SUV,5,21,28,24,5,No,373
FORD Explorer,2.3,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.33U1,standard SUV,5,20,27,23,5,No,386
FORD Explorer,2.3,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.33U1,standard SUV,5,20,27,23,5,No,386
FORD Explorer,3.0,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.03U2,standard SUV,5,18,26,21,4,No,431
FORD Explorer,3.0,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.03U2,standard SUV,5,18,26,21,4,No,431
FORD Explorer,3.0,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.03U2,standard SUV,5,18,24,20,4,No,445
FORD Explorer,3.0,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.03U2,standard SUV,5,18,24,20,4,No,445
FORD Explorer FFV,3.3,6.0,SemiAuto-10,4WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.33U3,standard SUV,5,11/16,15/23,13/19,3,No,497/471
FORD Explorer FFV,3.3,6.0,SemiAuto-10,4WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.33U3,standard SUV,5,11/16,15/23,13/19,3,No,497/471
FORD Explorer HEV,3.3,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.33F1,standard SUV,5,27,28,27,6,No,324
FORD Explorer HEV,3.3,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.33F1,standard SUV,5,27,28,27,6,No,324
FORD Explorer HEV,3.3,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.33F1,standard SUV,5,23,26,25,5,No,361
FORD Explorer HEV,3.3,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.33F1,standard SUV,5,23,26,25,5,No,361
FORD Explorer Timberline,2.3,4.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT02.33U4,standard SUV,5,19,23,21,4,No,431
FORD Explorer Timberline,2.3,4.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT02.33U4,standard SUV,5,19,23,21,4,No,431
FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT02.73JK,pickup,6,20,26,22,4,No,406
FORD F150,2.7,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT02.73JK,pickup,6,20,26,22,4,No,406
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT02.73JK,pickup,6,18,24,20,4,No,445
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT02.73JK,pickup,6,19,24,21,4,No,432
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT02.73JK,pickup,6,18,24,20,4,No,445
FORD F150,2.7,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT02.73JK,pickup,6,19,24,21,4,No,432
FORD F150,3.0,6.0,SemiAuto-10,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,MFMXT03.03DZ,pickup,1,20,27,23,4,No,446
FORD F150,3.0,6.0,SemiAuto-10,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,MFMXT03.03DZ,pickup,1,20,27,23,4,No,446
FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JK,pickup,6,17,24,20,4,No,444
FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JK,pickup,6,18,24,20,4,No,437
FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JK,pickup,6,17,24,20,4,No,444
FORD F150,3.5,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JK,pickup,6,18,24,20,4,No,437
FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JK,pickup,6,17,23,19,3,No,468
FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JK,pickup,6,18,23,20,4,No,445
FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JK,pickup,6,17,23,19,3,No,468
FORD F150,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JK,pickup,6,18,23,20,4,No,445
FORD F150 FFV,3.3,6.0,SemiAuto-10,2WD,Ethanol/Gas,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.33DU,pickup,6,14/20,19/24,16/21,4,No,389/424
FORD F150 FFV,3.3,6.0,SemiAuto-10,2WD,Ethanol/Gas,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.33DU,pickup,6,14/20,19/24,16/21,4,No,389/424
FORD F150 FFV,3.3,6.0,SemiAuto-10,4WD,Ethanol/Gas,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.33DU,pickup,6,14/19,18/22,15/20,4,No,405/445
FORD F150 FFV,3.3,6.0,SemiAuto-10,4WD,Ethanol/Gas,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.33DU,pickup,6,14/19,18/22,15/20,4,No,405/445
FORD F150 FFV,5.0,8.0,SemiAuto-10,2WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,MFMXT05.03DP,pickup,5,12/17,18/24,14/19,3,No,444/463
FORD F150 FFV,5.0,8.0,SemiAuto-10,2WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,MFMXT05.03DP,pickup,5,12/17,18/24,14/20,4,No,450/446
FORD F150 FFV,5.0,8.0,SemiAuto-10,2WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,MFMXT05.03DP,pickup,5,12/17,18/24,14/19,3,No,444/463
FORD F150 FFV,5.0,8.0,SemiAuto-10,2WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,MFMXT05.03DP,pickup,5,12/17,18/24,14/20,4,No,450/446
FORD F150 FFV,5.0,8.0,SemiAuto-10,4WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,MFMXT05.03DP,pickup,5,11/16,17/22,13/19,3,No,467/479
FORD F150 FFV,5.0,8.0,SemiAuto-10,4WD,Ethanol/Gas,CA,L3ULEV70,California LEV-III ULEV70,MFMXT05.03DP,pickup,5,12/16,17/22,14/18,3,No,461/495
FORD F150 FFV,5.0,8.0,SemiAuto-10,4WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,MFMXT05.03DP,pickup,5,11/16,17/22,13/19,3,No,467/479
FORD F150 FFV,5.0,8.0,SemiAuto-10,4WD,Ethanol/Gas,FA,T3B70,Federal Tier 3 Bin 70,MFMXT05.03DP,pickup,5,12/16,17/22,14/18,3,No,461/495
FORD F150 HEV,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.51F1,pickup,5,25,26,25,5,No,349
FORD F150 HEV,3.5,6.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.51F1,pickup,5,25,26,25,5,No,349
FORD F150 HEV,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXT03.51F1,pickup,5,24,24,24,5,No,368
FORD F150 HEV,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXT03.51F1,pickup,5,24,24,24,5,No,368
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JM,pickup,6,14,18,15,2,No,593
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JM,pickup,6,15,18,16,2,No,553
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JM,pickup,6,14,18,15,2,No,593
FORD F150 Raptor,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JM,pickup,6,15,18,16,2,No,553
FORD F150 Raptor 37,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.57AT,pickup,6,14,16,15,2,No,596
FORD F150 Raptor 37,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.57AT,pickup,6,15,16,15,2,No,578
FORD F150 Raptor 37,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.57AT,pickup,6,14,16,15,2,No,596
FORD F150 Raptor 37,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.57AT,pickup,6,15,16,15,2,No,578
FORD F150 Tremor,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JM,pickup,6,16,20,18,3,No,498
FORD F150 Tremor,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,MFMXT03.54JM,pickup,6,16,20,18,3,No,503
FORD F150 Tremor,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JM,pickup,6,16,20,18,3,No,498
FORD F150 Tremor,3.5,6.0,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,MFMXT03.54JM,pickup,6,16,20,18,3,No,503
FORD GT,3.5,6.0,AutoMan-7,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MFMXV03.5VGT,small car,3,12,18,14,1,No,632
FORD GT,3.5,6.0,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MFMXV03.5VGT,small car,3,12,18,14,1,No,632
FORD Mustang,2.3,4.0,Auto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,21,32,25,5,No,354
FORD Mustang,2.3,4.0,Auto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,21,32,25,5,No,354
FORD Mustang,2.3,4.0,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,21,29,24,5,No,373
FORD Mustang,2.3,4.0,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,21,29,24,5,No,373
FORD Mustang,2.3,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,21,32,25,5,No,356
FORD Mustang,2.3,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,21,32,25,5,No,356
FORD Mustang,5.0,8.0,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MFMXV05.0VKN,small car,3,15,24,18,3,No,490
FORD Mustang,5.0,8.0,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MFMXV05.0VKN,small car,3,15,24,18,3,No,490
FORD Mustang,5.0,8.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MFMXV05.0VKN,small car,3,15,24,19,3,No,479
FORD Mustang,5.0,8.0,SemiAuto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MFMXV05.0VKN,small car,3,15,24,19,3,No,479
FORD Mustang Convertible,2.3,4.0,Auto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,20,28,23,5,No,387
FORD Mustang Convertible,2.3,4.0,Auto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,20,28,23,5,No,387
FORD Mustang Convertible,2.3,4.0,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,20,27,23,5,No,386
FORD Mustang Convertible,2.3,4.0,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,20,27,23,5,No,386
FORD Mustang Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,20,28,23,5,No,387
FORD Mustang Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,20,28,23,5,No,387
FORD Mustang Convertible,5.0,8.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MFMXV05.0VKN,small car,3,15,23,18,3,No,493
FORD Mustang Convertible,5.0,8.0,SemiAuto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MFMXV05.0VKN,small car,3,15,23,18,3,No,493
FORD Mustang HO Convertible,2.3,4.0,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,19,25,21,4,No,415
FORD Mustang HO Convertible,2.3,4.0,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,19,25,21,4,No,415
FORD Mustang HO Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,19,26,22,4,No,404
FORD Mustang HO Convertible,2.3,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,19,26,22,4,No,404
FORD Mustang HO Coupe,2.3,4.0,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,20,27,22,4,No,397
FORD Mustang HO Coupe,2.3,4.0,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,20,27,22,4,No,397
FORD Mustang HO Coupe,2.3,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MFMXV02.3VJY,small car,5,20,27,23,5,No,386
FORD Mustang HO Coupe,2.3,4.0,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MFMXV02.3VJY,small car,5,20,27,23,5,No,386
FORD Mustang Mach 1,5.0,8.0,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MFMXV05.0VKN,small car,3,14,22,17,3,No,523
FORD Mustang Mach 1,5.0,8.0,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MFMXV05.0VKN,small car,3,14,22,17,3,No,523
FORD Mustang Mach 1,5.0,8.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MFMXV05.0VKN,small car,3,15,23,18,3,No,494
FORD Mustang Mach 1,5.0,8.0,SemiAuto-10,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MFMXV05.0VKN,small car,3,15,23,18,3,No,494
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B3R,station wagon,10,105,93,100,10,Elite,0
FORD Mustang Mach-E,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B3R,station wagon,10,105,93,100,10,Elite,0
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B3A,station wagon,10,100,86,93,10,Elite,0
FORD Mustang Mach-E,,,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B3A,station wagon,10,100,86,93,10,Elite,0
FORD Mustang Mach-E Cal Route 1,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MFMXV00.0B4R,station wagon,10,108,94,101,10,Elite,0
FORD Mustang Mach-E Cal Route 1,,,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,MFMXV00.0B4R,station wagon,10,108,94,101,10,Elite,0
