Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
KIA Sportage FE,2.4,4.0,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,21,25,22,4,No,400
KIA Stinger,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV02.0EG6,midsize car,3,22,29,25,5,No,365
KIA Stinger,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV02.0EG6,midsize car,3,22,29,25,5,No,365
KIA Stinger,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV02.0EG6,midsize car,3,21,29,24,5,No,368
KIA Stinger,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV02.0EG6,midsize car,3,21,29,24,5,No,368
KIA Stinger,3.3,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV03.3EJ6,midsize car,3,17,25,20,4,No,446
KIA Stinger,3.3,6.0,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV03.3EJ6,midsize car,3,17,25,20,4,No,446
KIA Stinger,3.3,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV03.3EJ6,midsize car,3,17,25,20,4,No,445
KIA Stinger,3.3,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV03.3EJ6,midsize car,3,17,25,20,4,No,445
LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV06.5LDR,small car,1,9,15,11,1,No,784
LAMBORGHINI Aventador Coupe,6.5,12.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV06.5LDR,small car,1,9,15,11,1,No,784
LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV06.5LDR,small car,1,9,15,11,1,No,794
LAMBORGHINI Aventador Roadster,6.5,12.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV06.5LDR,small car,1,9,15,11,1,No,794
LAMBORGHINI Huracan,5.2,10.0,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV05.2NBE,small car,1,13,18,15,2,No,585
LAMBORGHINI Huracan,5.2,10.0,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV05.2NBE,small car,1,13,18,15,2,No,585
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV05.2NBE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV05.2NBE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV05.2NDE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan,5.2,10.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV05.2NDE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV05.2NBE,small car,1,13,18,15,2,No,585
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV05.2NBE,small car,1,13,18,15,2,No,585
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV05.2NBE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV05.2NBE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,KVGAV05.2NDE,small car,1,13,18,15,2,No,592
LAMBORGHINI Huracan Spyder,5.2,10.0,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,KVGAV05.2NDE,small car,1,13,18,15,2,No,592
LAMBORGHINI Urus,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KVGAT04.0PAA,standard SUV,3,12,17,14,1,No,617
LAMBORGHINI Urus,4.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KVGAT04.0PAA,standard SUV,3,12,17,14,1,No,617
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXT03.0GTR,standard SUV,1,21,26,23,4,No,448
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXT03.0GTR,standard SUV,1,21,26,23,4,No,448
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT03.0FSP,standard SUV,7,16,21,18,3,No,500
LAND ROVER Discovery,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT03.0FSP,standard SUV,7,16,21,18,3,No,500
LAND ROVER Discovery Sport,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT02.0RTV,small SUV,7,21,25,22,4,No,395
LAND ROVER Discovery Sport,2.0,4.0,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT02.0RTV,small SUV,7,21,25,22,4,No,395
LAND ROVER Discovery Sport Si4,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT02.0RTV,small SUV,7,20,25,22,4,No,402
LAND ROVER Discovery Sport Si4,2.0,4.0,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT02.0RTV,small SUV,7,20,25,22,4,No,402
LAND ROVER Range Rover,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,16,21,18,3,No,491
LAND ROVER Range Rover Evoque 237HP,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT02.0RTV,small SUV,7,22,29,25,5,No,362
LAND ROVER Range Rover Evoque 237HP,2.0,4.0,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT02.0RTV,small SUV,7,22,29,25,5,No,362
LAND ROVER Range Rover Evoque 286HP,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT02.0RTV,small SUV,7,21,29,24,5,No,377
